Type,Name,Store,Store Number,Energy (Kcal),Protein (g),Total Fat (g),Saturated Fat (g),Dietary Fibre (g),Carbohyrate (g),Sugar (g),Sodium (g)
Dish,Black Pepper Chicken Chop ,Western,1,775,42.4,51.7,,,31.6,6.9,
Dish,Chicken Cutlet ,Western,1,966,47.8,60.1,,,54.9,7.2,
Dish,Grilled Dory Fish ,Western,1,530,45.1,21.3,,,37.2,8.2,
Dish,Fish & Chip ,Western,1,838,46.4,49.1,,,50.7,8.3,
Dish,Black Pepper Ribeye Steak ,Western,1,807,44.9,45.6,,,53.2,9.3,
Dish,Combo Set 1: Ribeye Steak & Grilled Chicken,Western,1,831,43.2,48.7,,,52.5,9,
Dish,Combo Set 2: Ribeye Steak & Grilled Fish,Western,1,680,41.3,33.2,,,52.4,9.2,
Dish,Combo Set 3: Ribeye Steak & Grilled Salmon,Western,1,776,42.4,43.6,,,52.3,9,
Dish,Combo Set 4: Grilled Chicken Chop & Grilled Salmon,Western,1,846,43.7,50.8,,,51.1,9,
Dish,Combo Set 5: Grilled Chicken Chop & Grilled Dory Fish,Western,1,750,42.7,40.3,,,51.3,9.2,
Dish,Arrabiata ,Western,1,295,10.3,5.1,,,50,7.3,
Dish,Pomodoro ,Western,1,341,13.9,2.7,,,69,21.6,
Dish,Creamy Chicken Spaghetti (Small) ,Western,1,755,31.6,54.3,,,34.1,3.7,
Dish,Creamy Chicken Spaghetti (Normal) ,Western,1,822,34,54.7,,,47.2,4,
Dish,Creamy Chicken Spaghetti (Upsize) ,Western,1,901,36.9,55.2,,,62.7,4.3,
Dish,Creamy Chicken Ham & Mushroom Spaghetti (Small) ,Western,1,571,19.2,38.2,,,37.8,4.2,
Dish,Creamy Chicken Ham & Mushroom Spaghetti (Normal) ,Western,1,638,21.7,38.6,,,50.9,4.4,
Dish,Creamy Chicken Ham & Mushroom Spaghetti (Upsize) ,Western,1,717,24.6,39,,,66.4,4.7,
Dish,Prawns & Mushroom Spaghetti (Small) ,Western,1,557,20.5,36.5,,,36.9,4,
Dish,Prawns & Mushroom Spaghetti (Normal) ,Western,1,624,23,36.9,,,50,4.2,
Dish,Prawns & Mushroom Spaghetti (Upsize) ,Western,1,703,25.9,37.3,,,65.4,4.5,
Dish,Hot Chicken Spaghetti (Small) ,Western,1,298,16.6,8.6,,,36.9,7,
Dish,Hot Chicken Spaghetti (Normal) ,Western,1,365,19.1,9,,,50,7.3,
